num_clients,total_time
10,3.065457604
20,3.120421403
30,3.198822833
40,3.272845789
50,3.317633431
60,3.393663351
70,3.423659131
80,3.506165974
90,3.562277914
100,3.675997416
10,3.067589432
20,3.121155489
30,3.180873494
40,3.242480981
50,3.294418498
60,3.347012277
70,3.403729990
80,3.469821002
90,3.518117226
100,3.600314344
10,3.070478488
20,3.120408518
30,3.213570060
40,3.266787557
50,3.314495420
60,3.402157206
70,3.427727362
80,3.507816504
90,3.567201139
100,3.643502342
